trade,category,name,unit,typical_low,typical_high,stocked_by
roofing,Ventilation,"Ridge vent, 4 ft section",ea,14,24,"ABC Supply; SRS Distribution; Beacon Building Products; Home Depot Pro; Lowe's Pro; Menards"
roofing,Ventilation,"Ridge vent, 20 ft roll",roll,62,98,"ABC Supply; SRS Distribution; Beacon Building Products; Home Depot Pro; Lowe's Pro; Menards"
roofing,Ventilation,"Soffit vent, 8 ft strip",ea,9,16,"ABC Supply; SRS Distribution; Beacon Building Products; Home Depot Pro; Lowe's Pro; Menards"
roofing,Ventilation,"Box vent, 50 sq in",ea,16,28,"ABC Supply; SRS Distribution; Beacon Building Products; Home Depot Pro; Lowe's Pro; Menards"
roofing,Ventilation,"Turbine vent, 12 in",ea,42,72,"ABC Supply; SRS Distribution; Beacon Building Products; Home Depot Pro; Lowe's Pro; Menards"
roofing,Sealants,"Roof cement, 10 oz tube",ea,4.5,8.5,"ABC Supply; SRS Distribution; Beacon Building Products; Home Depot Pro; Lowe's Pro; Menards"
roofing,Sealants,"Roof cement, 5 gal",ea,52,88,"ABC Supply; SRS Distribution; Beacon Building Products; Home Depot Pro; Lowe's Pro; Menards"
roofing,Sealants,"Polyurethane sealant, 10 oz",ea,7,13,"ABC Supply; SRS Distribution; Beacon Building Products; Home Depot Pro; Lowe's Pro; Menards"
roofing,Sealants,"Butyl seam tape, 4 in x 50 ft",roll,28,48,"ABC Supply; SRS Distribution; Beacon Building Products"
roofing,Metal,"Standing seam panel, 16 in, per lf",lf,4.5,9,"ABC Supply; SRS Distribution; Beacon Building Products"
roofing,Metal,"Exposed fastener panel, 3 ft, per lf",lf,2.4,4.6,"ABC Supply; SRS Distribution; Beacon Building Products; Home Depot Pro; Lowe's Pro; Menards"
roofing,Fasteners,"Metal roof screws with washer, 250 ct",box,28,48,"ABC Supply; SRS Distribution; Beacon Building Products; Home Depot Pro; Lowe's Pro; Menards"
roofing,Sealants,"Foam closure strips, 10 ft",ea,6,12,"ABC Supply; SRS Distribution; Beacon Building Products"
roofing,Underlayment,"TPO membrane 60 mil, 10 sq roll",roll,285,420,"ABC Supply; SRS Distribution; Beacon Building Products"
roofing,Underlayment,"EPDM membrane 45 mil, 10 sq roll",roll,245,380,"ABC Supply; SRS Distribution; Beacon Building Products"
roofing,Underlayment,"Polyiso insulation board 2 in, 4x8",ea,38,62,"ABC Supply; SRS Distribution; Beacon Building Products; L&W Supply; Foundation Building Materials"
roofing,Sealants,"Bonding adhesive, 5 gal",ea,145,225,"ABC Supply; SRS Distribution; Beacon Building Products"
roofing,Metal,"Gutter, 5 in K-style, 10 ft",ea,11,19,"ABC Supply; SRS Distribution; Beacon Building Products; Home Depot Pro; Lowe's Pro; Menards"
roofing,Metal,"Gutter, 6 in K-style, 10 ft",ea,15,26,"ABC Supply; SRS Distribution; Beacon Building Products; Home Depot Pro; Lowe's Pro; Menards"
roofing,Metal,"Downspout, 2x3, 10 ft",ea,10,17,"ABC Supply; SRS Distribution; Beacon Building Products; Home Depot Pro; Lowe's Pro; Menards"
roofing,Metal,"Downspout elbow, 2x3",ea,4,8,"ABC Supply; SRS Distribution; Beacon Building Products; Home Depot Pro; Lowe's Pro; Menards"
roofing,Hardware,"Hidden gutter hangers, 25 ct",box,38,62,"ABC Supply; SRS Distribution; Beacon Building Products; Home Depot Pro; Lowe's Pro; Menards"
roofing,Metal,"Gutter guard, 4 ft section",ea,7,16,"ABC Supply; SRS Distribution; Beacon Building Products; Home Depot Pro; Lowe's Pro; Menards"
roofing,Hardware,"Snow guards, 10 ct",box,68,130,"ABC Supply; SRS Distribution; Beacon Building Products"
roofing,Tools,"Roof harness and anchor kit",ea,95,185,"ABC Supply; SRS Distribution; Beacon Building Products; Home Depot Pro; Lowe's Pro; Menards; Fastenal; Grainger; Zoro"
roofing,Tools,"Magnetic nail sweeper, 24 in",ea,58,105,"ABC Supply; SRS Distribution; Beacon Building Products; Home Depot Pro; Lowe's Pro; Menards; Fastenal; Grainger; Zoro"
roofing,Tools,"Hook blades, 100 ct",box,16,30,"ABC Supply; SRS Distribution; Beacon Building Products; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Pipe,"PEX-A 1/2 in, 100 ft coil",roll,42,68,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards; PexUniverse"
plumbing,Pipe,"PEX-A 3/4 in, 100 ft coil",roll,72,110,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards; PexUniverse"
plumbing,Pipe,"PEX-B 1/2 in, 100 ft coil",roll,32,52,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Pipe,"PEX-B 3/4 in, 100 ft coil",roll,58,92,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Pipe,"Copper type L 1/2 in, 10 ft",ea,22,38,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Pipe,"Copper type L 3/4 in, 10 ft",ea,36,58,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Pipe,"Copper type M 1/2 in, 10 ft",ea,18,30,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Pipe,"PVC sch 40, 2 in, 10 ft",ea,11,19,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Pipe,"PVC sch 40, 3 in, 10 ft",ea,19,32,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Pipe,"PVC sch 40, 4 in, 10 ft",ea,26,44,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Pipe,"ABS DWV 2 in, 10 ft",ea,12,21,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Pipe,"CPVC 3/4 in, 10 ft",ea,9,16,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Pipe,"Cast iron no-hub 4 in, 10 ft",ea,78,135,"Ferguson; Winsupply; SupplyHouse.com"
plumbing,Fittings,"PEX expansion fitting, 1/2 elbow, 10 pk",bag,24,42,"Ferguson; Winsupply; SupplyHouse.com; PexUniverse"
plumbing,Fittings,"PEX expansion fitting, 3/4 elbow, 10 pk",bag,28,48,"Ferguson; Winsupply; SupplyHouse.com; PexUniverse"
plumbing,Fittings,"PEX crimp rings 1/2 in, 100 ct",bag,14,26,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Fittings,"Push-to-connect coupling 1/2 in",ea,6.5,12,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Fittings,"Push-to-connect elbow 3/4 in",ea,9,16,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Fittings,"Copper 90 elbow 1/2 in, 10 pk",bag,8,16,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Fittings,"Copper tee 3/4 in, 10 pk",bag,18,34,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Fittings,"PVC 90 elbow 2 in",ea,2.6,5,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Fittings,"PVC sanitary tee 3 in",ea,7,13,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Fittings,"Closet flange, PVC 4x3",ea,8,15,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Fittings,"Supply line 3/8 x 12 in braided",ea,6,12,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Fittings,"Supply line 3/8 x 20 in braided",ea,7,14,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Valves,"Ball valve 1/2 in",ea,10,19,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Valves,"Ball valve 3/4 in",ea,13,24,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Valves,"Gate valve 3/4 in",ea,16,30,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Valves,"Angle stop 1/2 x 3/8",ea,7,14,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Valves,"Pressure reducing valve 3/4 in",ea,68,125,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Valves,"Backflow preventer 3/4 in",ea,95,185,"Ferguson; Winsupply; SupplyHouse.com"
plumbing,Valves,"Hose bibb, frost free 12 in",ea,24,44,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Equipment,"Thermal expansion tank, 2 gal",ea,38,68,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Equipment,"Water heater, 40 gal gas",ea,620,1050,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Equipment,"Water heater, 50 gal gas",ea,750,1250,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Equipment,"Water heater, 50 gal electric",ea,580,980,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Equipment,"Tankless water heater, gas",ea,950,1750,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Equipment,"Sump pump, 1/3 HP",ea,130,240,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Equipment,"Sewage ejector pump",ea,340,620,"Ferguson; Winsupply; SupplyHouse.com"
plumbing,Equipment,"Water softener, 40k grain",ea,480,850,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Equipment,"Recirculation pump",ea,180,340,"Ferguson; Winsupply; SupplyHouse.com"
plumbing,Drainage,"P-trap 1-1/2 in PVC",ea,5,10,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Drainage,"Floor drain, 3 in",ea,34,62,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Drainage,"Cleanout plug and adapter, 4 in",ea,9,17,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Drainage,"Condensate pump",ea,52,95,"Ferguson; Winsupply; SupplyHouse.com; Johnstone Supply"
plumbing,Fixtures,"Toilet, two piece elongated",ea,165,380,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Fixtures,"Toilet, one piece",ea,320,680,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Fixtures,"Wax ring with flange",ea,4,9,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Fixtures,"Lavatory faucet, single hole",ea,78,210,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Fixtures,"Kitchen faucet, pull down",ea,140,390,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Fixtures,"Shower valve, pressure balance",ea,95,220,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Fixtures,"Tub spout and trim kit",ea,68,180,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Fixtures,"Stainless undermount sink, 16 ga",ea,185,420,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Fixtures,"Garbage disposal, 3/4 HP",ea,130,265,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Sealants,"Lead-free solder, 1 lb",ea,24,42,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Sealants,"Soldering flux, 4 oz",ea,6,12,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Sealants,"PVC cement and primer set",ea,12,22,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Sealants,"Teflon tape, 10 pk",pk,8,16,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
plumbing,Prep,"Pipe insulation 3/4 in, 6 ft",ea,2.2,4.5,"Ferguson; Winsupply; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
electrical,Wire,"Romex NM-B 14/2, 250 ft",roll,62,105,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Wire,"Romex NM-B 12/2, 250 ft",roll,88,145,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Wire,"Romex NM-B 12/3, 250 ft",roll,135,215,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Wire,"Romex NM-B 10/2, 250 ft",roll,145,235,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Wire,"Romex NM-B 10/3, 250 ft",roll,195,310,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Wire,"Romex NM-B 6/3, 125 ft",roll,280,450,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Wire,"THHN 12 AWG, 500 ft",roll,62,105,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Wire,"THHN 10 AWG, 500 ft",roll,95,160,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Wire,"UF-B 12/2 direct burial, 250 ft",roll,130,210,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Wire,"SER 4/0 aluminum, per ft",lf,4.2,7.5,"CED (Consolidated Electrical); Graybar; Winsupply"
electrical,Wire,"Bare copper ground 6 AWG, 100 ft",roll,58,95,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Breakers,"Breaker 15A single pole",ea,6.5,13,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Breakers,"Breaker 20A single pole",ea,7,14,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Breakers,"Breaker 30A double pole",ea,15,28,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Breakers,"Breaker 50A double pole",ea,18,34,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Breakers,"AFCI breaker 20A",ea,42,72,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Breakers,"GFCI breaker 20A",ea,48,85,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Panels,"Load center 100A, 20 space",ea,95,175,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Panels,"Load center 200A, 40 space",ea,195,340,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Panels,"Meter main combo 200A",ea,280,520,"CED (Consolidated Electrical); Graybar; Winsupply"
electrical,Panels,"Generator interlock kit",ea,58,110,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Panels,"Transfer switch, 10 circuit",ea,280,480,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Devices,"Duplex receptacle 15A TR, 10 pk",box,16,30,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Devices,"Duplex receptacle 20A TR, 10 pk",box,26,46,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Devices,"GFCI receptacle 20A",ea,17,30,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Devices,"USB receptacle 20A",ea,28,52,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Devices,"Decora switch single pole, 10 pk",box,22,40,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Devices,"Three way switch, 10 pk",box,32,58,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Devices,"Dimmer switch, LED compatible",ea,18,34,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Devices,"Smart switch, wifi",ea,28,55,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Devices,"Wall plate, white, 10 pk",box,8,16,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Boxes,"Single gang old work box, 25 pk",box,26,46,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Boxes,"Single gang new work box, 25 pk",box,16,30,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Boxes,"Double gang box, 10 pk",box,18,34,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Boxes,"4 in square box with mud ring",ea,4.5,9,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Boxes,"Ceiling fan rated box",ea,8,16,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Boxes,"Weatherproof box and cover",ea,11,22,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Conduit,"EMT 1/2 in, 10 ft",ea,7,13,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Conduit,"EMT 3/4 in, 10 ft",ea,8.5,16,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Conduit,"PVC conduit sch 40, 3/4 in, 10 ft",ea,5,10,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Conduit,"Liquidtight flex 3/4 in, 25 ft",roll,42,75,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Conduit,"EMT connectors 3/4 in, 25 pk",box,18,34,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Conduit,"Conduit straps 3/4 in, 100 ct",box,14,26,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Connectors,"Wire nuts assorted, 100 ct",box,10,20,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Connectors,"Push-in connectors 3 port, 100 ct",box,26,46,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Connectors,"NM cable connectors, 50 ct",box,16,30,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Connectors,"Ground bar kit",ea,9,18,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Lighting,"LED recessed 6 in, 4 pk",case,42,78,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Lighting,"LED recessed 4 in, 4 pk",case,38,70,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Lighting,"LED wafer light 6 in",ea,11,22,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Lighting,"LED shop light 4 ft",ea,24,48,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Lighting,"LED flood light, 50W",ea,32,62,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Lighting,"Under cabinet LED, 24 in",ea,26,52,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Equipment,"Exhaust fan, 110 CFM",ea,68,130,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Equipment,"Ceiling fan, 52 in",ea,95,240,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Devices,"Smoke and CO detector, hardwired",ea,34,62,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Hardware,"Ground rod 8 ft copper clad",ea,18,32,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
electrical,Equipment,"EV charger, 48A",ea,400,750,"CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
hvac,Refrigerant,"R-410A refrigerant, 25 lb",cyl,185,320,"Johnstone Supply; Ferguson; SupplyHouse.com"
hvac,Refrigerant,"R-454B refrigerant, 25 lb",cyl,240,420,"Johnstone Supply; Ferguson; SupplyHouse.com"
hvac,Copper,"Line set 3/8 x 3/4, 50 ft",ea,165,275,"Johnstone Supply; Ferguson; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
hvac,Copper,"Line set 1/4 x 1/2, 25 ft",ea,78,135,"Johnstone Supply; Ferguson; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
hvac,Copper,"Copper coil 3/8 in, 50 ft",roll,95,165,"Johnstone Supply; Ferguson; SupplyHouse.com; Winsupply"
hvac,Equipment,"Condenser 2.5 ton, 14 SEER",ea,1250,2100,"Johnstone Supply; Ferguson; SupplyHouse.com; HVACDirect"
hvac,Equipment,"Condenser 3 ton, 16 SEER",ea,1650,2800,"Johnstone Supply; Ferguson; SupplyHouse.com; HVACDirect"
hvac,Equipment,"Air handler 3 ton",ea,950,1700,"Johnstone Supply; Ferguson; SupplyHouse.com; HVACDirect"
hvac,Equipment,"Gas furnace 80k BTU, 80%",ea,850,1550,"Johnstone Supply; Ferguson; SupplyHouse.com; HVACDirect"
hvac,Equipment,"Gas furnace 100k BTU, 96%",ea,1450,2500,"Johnstone Supply; Ferguson; SupplyHouse.com; HVACDirect"
hvac,Equipment,"Mini split 12k BTU, single zone",ea,850,1500,"Johnstone Supply; Ferguson; SupplyHouse.com; HVACDirect"
hvac,Equipment,"Evaporator coil, cased 3 ton",ea,520,920,"Johnstone Supply; Ferguson; SupplyHouse.com"
hvac,Equipment,"Heat pump 3 ton",ea,1850,3200,"Johnstone Supply; Ferguson; SupplyHouse.com; HVACDirect"
